ID,Name,TimeStamp,Description
62,Organisation,2024-05-27T09:00:17.114072,
63,Hardware,2024-05-27T09:25:51.785808,
64,Meeting,2024-05-27T09:47:28.806543,
65,Other,2024-05-27T11:02:56.752845,
66,Break,2024-05-27T12:04:39.803936,
67,Organisation,2024-05-27T12:54:00.618771,
68,Meeting,2024-05-27T12:59:17.012086,
69,Patents,2024-05-27T14:44:42.938020,
70,Meeting,2024-05-27T17:58:25.100053,
71,Patents,2024-05-27T18:44:09.165787,
72,Feierabend,2024-05-27T19:21:32.829310,
73,Software,2024-05-27T20:49:59.257109,
74,Feierabend,2024-05-27T21:55:50.596360,
75,Organisation,2024-05-28T09:04:54.680214,
76,Meeting,2024-05-28T09:54:52.963885,
77,Break,2024-05-28T12:24:03.645603,
78,Hardware,2024-05-28T13:00:54.016949,
79,Organisation,2024-05-28T15:24:19.077710,
80,HR,2024-05-28T15:48:32.531907,
2,Feierabend,2024-05-28T18:11:32.581156,
4,Organisation,2024-05-29T08:54:09.885609,
5,Mails,2024-05-29T08:56:18.748490,
6,Meeting,2024-05-29T10:13:50.758141,
7,HR,2024-05-29T11:04:56.930505,
8,Organisation,2024-05-29T11:37:20.697953,
9,Meeting,2024-05-29T11:40:24.281013,patent
10,Organisation,2024-05-29T13:08:21.018593,
11,Meeting,2024-05-29T13:33:21.586246,
12,Organisation,2024-05-29T13:44:10.013492,
13,Planning,2024-05-29T13:58:50.488101,
14,Organisation,2024-05-29T14:28:18.702557,SOPs
15,Personal,2024-05-29T15:16:23.529864,
16,Meeting,2024-05-29T15:58:01.833443,meeting davor -20
17,Organisation,2024-05-29T16:25:27.449550,"Mitarbeiter, FAU ordner"
18,Organisation,2024-05-29T17:18:30.259273,SOP
19,Organisation,2024-05-29T18:48:35.637535,time
